timestamp,open,high,low,close,volume
28-01-2022,133.19,134.53,131.79,134.5,5471497
27-01-2022,133.66,134.75,132.08,132.52,5499566
26-01-2022,136.47,137.07,133.13,134.26,8335992
25-01-2022,129.14,137.3361,128.3,136.1,19715698
24-01-2022,127.99,129.15,124.193,128.82,13777648
21-01-2022,131.65,131.87,129.27,129.35,5906950
20-01-2022,131.26,132.88,130.5705,130.82,5278244
19-01-2022,132.9,133.9,131.5,131.58,4099035
18-01-2022,132.95,133.89,131.78,132.94,5236258
14-01-2022,134.55,135.14,133.3,134.21,5310305
13-01-2022,133.9,136.05,133.56,134.76,4868349
12-01-2022,133.25,134.47,131.37,133.59,5352014
11-01-2022,130.52,133.25,127.97,132.87,11081210
10-01-2022,134.47,136.2,133.38,135.03,5432807
07-01-2022,134.9,135.6618,133.5111,134.83,5238099
06-01-2022,138.2,138.4099,132.51,135.34,9908081
05-01-2022,138.31,142.2,137.88,138.22,8956910
04-01-2022,136.1,139.95,135.9,138.02,7300011
03-01-2022,134.07,136.295,133.63,136.04,4610665
31-12-2021,134,134.99,133.61,133.66,3315313
30-12-2021,133.75,134.37,133.33,133.91,3158111
29-12-2021,132.4,134.21,132.3,133.35,4239935
28-12-2021,131.6,133.22,131.59,132.63,3447079
27-12-2021,130.63,131.65,129.95,131.62,4294499
23-12-2021,130,130.96,129.52,130.63,3649044
22-12-2021,129.06,129.79,127.6,129.75,3923198
21-12-2021,127.66,129.3356,127.66,128.97,4855972
20-12-2021,125.72,127.2,124.7,127.06,4941411
17-12-2021,125.87,128.64,125.2093,127.4,10382693
16-12-2021,123.51,126.6399,123.475,125.93,7280537
15-12-2021,123.8,124.815,122.18,123.11,4990028
14-12-2021,122.35,125.03,122.3,123.76,5716124
13-12-2021,123.76,124.3554,120.79,122.58,6847468
10-12-2021,124.3,125.33,123.36,124.09,4966921
09-12-2021,122.15,123.95,121.79,123.57,4601092
08-12-2021,122,123.38,121.52,123.02,5483948
07-12-2021,120.475,122.08,120.07,121.58,5193991
06-12-2021,119.4,121.15,119.4,119.91,4785560
03-12-2021,117.36,119.36,117.36,118.84,6630139
02-12-2021,117.37,117.98,116.56,116.9,5267149
01-12-2021,118.25,118.93,116.85,116.92,5959867
30-11-2021,117.5,119.2399,116.45,117.1,9252701
29-11-2021,118.62,119.61,117.53,118.5,8949795
26-11-2021,115,116.335,114.56,115.81,3322012
24-11-2021,116.16,117.27,116.08,116.73,3220802
23-11-2021,116.79,117.94,116.04,116.79,4914995
22-11-2021,116,118.81,115.19,116.47,6417218
19-11-2021,116.49,116.56,115.27,116.05,5384548
18-11-2021,118.36,118.36,116.31,116.66,5047879
17-11-2021,118.38,119.33,117.78,118.06,4043289
16-11-2021,118.92,119.9,118.42,118.46,4750760
15-11-2021,119.54,120.16,118.31,118.87,5046321
12-11-2021,120,120.64,118.78,118.96,5376966
11-11-2021,120.9,121.7894,120.08,120.27,4643257
10-11-2021,121,122.43,119.932,120.22,6268961
09-11-2021,122.56,122.9,120.26,120.85,7195453
08-11-2021,123.985,124.78,123.53,124.54,5625275
05-11-2021,121.43,123.77,121.43,123.61,6790478
04-11-2021,123.05,123.34,119.9,120.85,7208736
03-11-2021,126.23,127.29,125.68,127.13,5421406
02-11-2021,126.3,127.17,124.91,126.18,4496393
01-11-2021,125.05,126.31,123.8375,126.28,5874767
29-10-2021,125.43,126.32,124.91,125.1,5916789
28-10-2021,125.17,126.31,124.62,125.84,6503003
27-10-2021,127.44,127.88,125.01,125.17,6973432
26-10-2021,127.52,128.3,126.755,127.13,8520872
25-10-2021,127.53,128.65,126.94,127.64,6374038
22-10-2021,128.05,130.25,126.611,127.88,11582195
21-10-2021,133.51,133.72,128.1,128.33,31466529
20-10-2021,141.68,142.2,140.7,141.9,6189255
19-10-2021,141.08,142.94,140.5201,141.98,4339548
18-10-2021,144,144.94,141.759,142.32,6154055
15-10-2021,143.39,144.85,142.79,144.61,3222778
14-10-2021,141.04,143.92,141.01,143.39,4217305
13-10-2021,140.52,141.41,139.66,140.76,2880747
12-10-2021,142.21,142.3,140.3,140.47,3148559
11-10-2021,143.5,144.08,142.4,142.43,2793298
08-10-2021,141.81,143.65,141.05,143.22,3731279
07-10-2021,142.73,143.395,141.53,141.81,3823803
06-10-2021,142.48,143.37,140.89,142.36,5328433
05-10-2021,144.75,145,142.64,143.15,6976648
04-10-2021,142.74,146,142.3501,144.11,7351128
01-10-2021,141,143.97,140.37,143.32,6604064
30-09-2021,140,140.57,138.5,138.93,5824431
29-09-2021,137.73,139.93,136.44,139.18,3774236
28-09-2021,139.17,139.688,137.21,137.47,4314595
27-09-2021,137.96,139.065,137.48,138.56,3306865
24-09-2021,137.03,138.48,136.75,137.49,2964397
23-09-2021,135.25,137.42,135.03,136.73,3013238
22-09-2021,133.72,135.37,133.47,134.63,3602416
21-09-2021,135.11,135.65,132.94,132.97,4074528
20-09-2021,133.9,135.18,132.78,134.31,4770651
17-09-2021,135.75,135.9199,135.05,135.23,5633480
16-09-2021,137.28,137.95,135.71,136.43,2643975
15-09-2021,136.22,137.8,135.67,137.2,3254122
14-09-2021,138.4,138.57,135.34,136.22,4454291
13-09-2021,138.4,138.99,137.51,138.15,4144345
10-09-2021,138.82,139.3699,137,137.02,3975115
09-09-2021,137.85,138.96,137.555,137.74,3508363
08-09-2021,138.14,139.09,137.6,138.67,2985409
